respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Wie alt sind Sie?,Was ist Ihr Geschlecht?,Wie viele Personen leben in Ihrem Haushalt?,In welcher Art von Unterkunft wohnen Sie?,,,,Welche Art von Strom beziehen Sie hauptsächlich?,"Denken Sie, dass die zunehmende Erzeugung erneuerbarer Energien Herausforderungen für das Stromsystem mit sich bringt? Wenn ja, welche?Falls Sie es nicht wissen, können Sie gerne ‚wn‘ (weiss nicht) schreiben.",Welche der folgenden Konsequenzen der zunehmenden Einspeisung von erneuerbaren Energien ist aus Ihrer Sicht problematisch? (Nur eine Antwort möglich)?,"Bitte bewerten Sie, wie wichtig es für Sie ist, die folgenden Haushaltsgeräte jederzeit nutzen zu können (1 = sehr unwichtig, 5 = sehr wichtig)",,,,,,"Könnten Sie sich vorstellen, eines der folgenden Haushaltsgeräte für einen begrenzten Zeitraum nicht einzuschalten, wenn Sie vom Elektrizitätswerk darum gebeten werden?",,,,,,"Würde sich Ihre Bereitschaft erhöhen, die folgenden Haushaltsgeräte nicht zu nutzen, wenn Sie dafür eine finanzielle Belohnung erhalten würden?",,,,,,,,,,,,"Könnten Sie sich vorstellen, von Ihrem Elektrizitätswerk benachrichtigt zu werden (z. B. per SMS oder App), wenn das Stromnetz stark ausgelastet ist?","Könnten Sie sich vorstellen, einen intelligenten Zwischenstecker (Smart Plug) an Ihren Geräten zu installieren, damit Ihr Elektrizitätswerk Ihren Beitrag messen und Sie entsprechend vergüten kann?",Wie hoch ist Ihr monatliches Haushaltsnettoeinkommen?,Was ist Ihr höchster Bildungsabschluss?,Welche der folgenden Parteien entspricht am ehesten Ihrer politischen Präferenz?
118721006467,458224841,10/21/2024 12:59:56 AM,10/21/2024 01:03:52 AM,92.105.184.84,,,,,26,Männlich,3,,,,Haus (Eigentum),"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Ja,Keine der genannten Konsequenzen ist problematisch,3,2,1 = sehr unwichtig,2,2,3,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall",,Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Nein,Nein,Keine Angabe,Universität/Master,Keine Angabe
118720956129,458224841,10/20/2024 10:00:37 PM,10/20/2024 10:07:34 PM,194.230.147.105,,,,,28,Männlich,3,,,Haus (Miete),,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Bedrohung der Rentabilität von Stromunternehmen,1 = sehr unwichtig,5 = sehr wichtig,1 = sehr unwichtig,5 = sehr wichtig,1 = sehr unwichtig,3,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, +",10%,"Ja, +",10%,"Ja, +",10%,Nein,,"Ja, +",10%,"Ja, +",10%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118720912499,458224841,10/20/2024 06:50:18 PM,10/20/2024 08:06:14 PM,92.104.77.211,,,,,55,Weiblich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Wie kann der produzierte Strom ( der Solarstrom) bei sehr hoher Produktion im Netz aufgenommen und sinnvoll genutzt oder allenfalls gespeichert werden?,Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,2,2,2,2,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",25%,Nein,,"Ja, f",0%,"Ja, +",25%,"Ja, +",25%,"Ja, f",10%,Ja,Ja,Keine Angabe,Berufsausbildung/Lehre/Maturität,Die Mitte
118720905950,458224841,10/20/2024 07:13:36 PM,10/20/2024 07:48:50 PM,151.248.171.68,,,,,57,Weiblich,2,Wohnung (Eigentum),,,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","Ja, weil Netz schlecht ausgebaut ist.",Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,2,2,1 = sehr unwichtig,1 = sehr unwichtig,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",,Nein,,Nein,,Nein,,"Ja, +",,Nein,,Ja,Ja,Keine Angabe,Berufsausbildung/Lehre/Maturität,Grünliberale Partei (GLP)
118720902903,458224841,10/20/2024 07:29:55 PM,10/20/2024 07:37:43 PM,172.225.27.67,,,,,24,Weiblich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Herausforderungen für die Stabilität der Netze,4,5 = sehr wichtig,1 = sehr unwichtig,4,5 = sehr wichtig,1 = sehr unwichtig,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",50%,"Ja, +",50%,"Ja, +",50%,"Ja, +",50%,"Ja, +",50%,"Ja, +",50%,Ja,Ja,7.001 - 10.000 CHF,Universität/Master,Ich habe keine feste Parteipräferenz
118720900408,458224841,10/20/2024 05:37:25 PM,10/20/2024 07:28:36 PM,213.55.184.27,,,,,64,Männlich,4,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,Verfügbarkeit bei maximaler nutzung,Herausforderungen für die Stabilität der Netze,2,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",25%,"Ja, +",40%,"Ja, +",75%,"Ja, +",5%,"Ja, f",25%,"Ja, f",25%,Ja,Ja,Keine Angabe,Berufsausbildung/Lehre/Maturität,Die Mitte
118720897761,458224841,10/20/2024 07:08:48 PM,10/20/2024 07:19:09 PM,213.55.237.70,,,,,21,Weiblich,4,,,,Haus (Eigentum),Weiss nicht,wn,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,5 = sehr wichtig,5 = sehr wichtig,3,5 = sehr wichtig,3,5 = sehr wichtig,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall",Nein,0%,Nein,0%,"Ja, +",15%,"Ja, +",20%,"Ja, +",20%,"Ja, +",20%,Ja,Ja,Über 10.000 CHF,Berufsausbildung/Lehre/Maturität,Die Mitte
118720897461,458224841,10/20/2024 07:14:50 PM,10/20/2024 07:18:01 PM,178.197.210.133,,,,,50,Männlich,1,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",netzstabilität,Herausforderungen für die Stabilität der Netze,4,4,3,3,4,3,"Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Grüne Partei der Schweiz (GPS)
118720895378,458224841,10/20/2024 06:56:57 PM,10/20/2024 07:10:34 PM,213.55.237.247,,,,,31,Männlich,1,Wohnung (Eigentum),,,,Eine Mischung aus konventionellem Strom und Ökostrom,Weiss nicht,Keine der genannten Konsequenzen ist problematisch,5 = sehr wichtig,5 = sehr wichtig,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",50%,"Ja, +",50%,"Ja, +",50%,Nein,50%,"Ja, +",50%,"Ja, +",50%,Ja,Ja,Über 10.000 CHF,Universität/Master,Ich habe keine feste Parteipräferenz
118720891261,458224841,10/20/2024 06:50:01 PM,10/20/2024 06:56:09 PM,178.197.211.64,,,,,57,Männlich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,"Ja, Stabilität des Netzes ",Herausforderungen für die Stabilität der Netze,2,4,1 = sehr unwichtig,3,4,1 = sehr unwichtig,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, f",5%,"Ja, +",10%,Nein,0%,"Ja, +",10%,"Ja, f",10%,"Ja, f",0%,Ja,Ja,Keine Angabe,Fachhochschule/Bachelor,Ich habe keine feste Parteipräferenz
118720890752,458224841,10/20/2024 06:45:52 PM,10/20/2024 06:54:18 PM,194.230.144.31,,,,,42,Weiblich,1,Wohnung (Eigentum),,,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Stromnetzüberlastung,Herausforderungen für die Stabilität der Netze,2,4,3,5 = sehr wichtig,4,2,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",20%,Nein,,Nein,,Nein,,Nein,,"Ja, +",20%,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Keine Angabe
118720890310,458224841,10/20/2024 06:47:58 PM,10/20/2024 06:52:49 PM,194.230.144.120,,,,,19,Männlich,5,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Viel zu teuer und nicht effizient. ,Steigende Strompreise für Verbraucher,3,4,4,2,4,4,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall",,,,,,,,,,,,,Ja,Ja,Keine Angabe,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP)
118720887674,458224841,10/20/2024 06:35:58 PM,10/20/2024 06:43:43 PM,178.197.223.238,,,,,27,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Herausforderungen für die Stabilität der Netze,3,3,5 = sehr wichtig,5 = sehr wichtig,4,3,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",10%,Nein,,Nein,,Nein,,Nein,,Nein,,Nein,Nein,Keine Angabe,Fachhochschule/Bachelor,Schweizerische Volkspartei (SVP)
118720887094,458224841,10/20/2024 06:36:43 PM,10/20/2024 06:41:47 PM,178.197.195.200,,,,,60,Männlich,1,,,Haus (Miete),,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Steigende Strompreise für Verbraucher,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",,Nein,,Nein,,"Ja, f",,"Ja, +",,"Ja, +",,Ja,Ja,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118720882393,458224841,10/20/2024 06:21:01 PM,10/20/2024 06:27:09 PM,178.197.211.79,,,,,39,Weiblich,4,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, f",,"Ja, +",,"Ja, +",,"Ja, f",,"Ja, +",,"Ja, f",,Ja,Ja,Keine Angabe,Berufsausbildung/Lehre/Maturität,Keine Angabe
118720881324,458224841,10/20/2024 06:20:12 PM,10/20/2024 06:24:28 PM,178.197.198.195,,,,,38,Männlich,4,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Industrie verdient kein geld mehr,Bedrohung der Rentabilität von Stromunternehmen,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP)
118720881244,458224841,10/20/2024 05:59:05 PM,10/20/2024 06:24:20 PM,178.197.215.42,,,,,53,Männlich,1,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Ja. Wirtschaftliche und zum Teil politische Interessen ,Bedrohung der Rentabilität von Stromunternehmen,2,5 = sehr wichtig,2,4,4,3,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",,5%,,,,5%,,,,,,,Ja,Ja,Über 10.000 CHF,Universität/Master,FDP.Die Liberalen (FDP)
118720880281,458224841,10/20/2024 06:19:05 PM,10/20/2024 06:22:53 PM,194.230.144.216,,,,,19,Männlich,2,,Wohnung (Miete),,,Weiss nicht,Wn,Steigende Strompreise für Verbraucher,3,4,5 = sehr wichtig,3,5 = sehr wichtig,2,"Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, f",72%,,11%,"Ja, +",12%,Nein,37%,"Ja, +",27%,"Ja, f",23%,Nein,Ja,Keine Angabe,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP)
118720878032,458224841,10/20/2024 06:09:57 PM,10/20/2024 06:17:56 PM,104.28.62.87,,,,,18,Männlich,3,,Wohnung (Miete),,,Weiss nicht,"Ja, unregelmässige Stromzufuhr",Herausforderungen für die Stabilität der Netze,2,4,3,5 = sehr wichtig,4,3,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, +",10%,Nein,,"Ja, +",5%,Nein,,"Ja, +",10%,"Ja, +",8%,Ja,Nein,Keine Angabe,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118720876610,458224841,10/20/2024 06:02:39 PM,10/20/2024 06:13:13 PM,178.197.210.105,,,,,28,Weiblich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Preisunterschiede maybe?,Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,1 = sehr unwichtig,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, f",,Nein,,"Ja, f",,"Ja, +",10%,"Ja, +",50%,"Ja, +",50%,Ja,Nein,5.001 - 7.000 CHF,Fachhochschule/Bachelor,Keine Angabe
118720875003,458224841,10/20/2024 05:47:16 PM,10/20/2024 06:08:05 PM,178.197.211.179,,,,,35,Männlich,4,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","Ja, ja das Stromnetz muss Spitzen der Energieerzeugung aufnehmen können.",Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,1 = sehr unwichtig,5 = sehr wichtig,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Nein,7.001 - 10.000 CHF,Universität/Master,Sozialdemokratische Partei der Schweiz (SP)
118720874823,458224841,10/20/2024 05:54:41 PM,10/20/2024 06:07:31 PM,194.230.144.92,,,,,31,Männlich,über 6,,,Haus (Miete),,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","Ja, zu starke Strom Peaks",Herausforderungen für die Stabilität der Netze,4,5 = sehr wichtig,1 = sehr unwichtig,3,2,2,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",10%,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Ja,Ja,Über 10.000 CHF,Universität/Master,Sozialdemokratische Partei der Schweiz (SP)
118720874594,458224841,10/20/2024 05:54:49 PM,10/20/2024 06:06:50 PM,194.230.144.124,,,,,27,Weiblich,über 6,,,Haus (Miete),,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Keine der genannten Konsequenzen ist problematisch,2,4,1 = sehr unwichtig,5 = sehr wichtig,4,3,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",10%,"Ja, f",,"Ja, f",30%,"Ja, f",10%,"Ja, f",10%,Ja,Ja,Über 10.000 CHF,Fachhochschule/Bachelor,Sozialdemokratische Partei der Schweiz (SP)
118720874067,458224841,10/20/2024 05:56:49 PM,10/20/2024 06:05:11 PM,178.197.222.101,,,,,22,Weiblich,2,,Wohnung (Miete),,,Weiss nicht,Ja ich denke schon. Erneuerbare Energie kann die Stromnachfrage im Winter nicht gleich effiezient decken. Zudem werden die Kosten höher.,Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,2,2,2,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, f",5%,"Ja, +",,"Ja, +",10%,"Ja, +",10%,"Ja, f",,"Ja, f",,Ja,Ja,3.000 - 5.000 CHF,Fachhochschule/Bachelor,FDP.Die Liberalen (FDP)
118720873582,458224841,10/20/2024 05:56:12 PM,10/20/2024 06:03:33 PM,194.230.145.126,,,,,21,Weiblich,4,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Steigende Strompreise für Verbraucher,5 = sehr wichtig,5 = sehr wichtig,2,2,5 = sehr wichtig,4,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall",Nein,,Nein,,"Ja, f",,"Ja, +",30%,Nein,,"Ja, +",14%,Nein,Ja,Keine Angabe,Berufsausbildung/Lehre/Maturität,Keine Angabe
118720873581,458224841,10/20/2024 05:56:08 PM,10/20/2024 06:03:32 PM,194.230.145.44,,,,,19,Männlich,5,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Steigende Strompreise für Verbraucher,5 = sehr wichtig,5 = sehr wichtig,2,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",10%,Nein,,"Ja, f",,"Ja, f",,"Ja, +",20%,"Ja, f",,Ja,Ja,Über 10.000 CHF,Berufsausbildung/Lehre/Maturität,Grüne Partei der Schweiz (GPS)
118720873448,458224841,10/20/2024 05:56:56 PM,10/20/2024 06:03:07 PM,194.230.148.2,,,,,23,Männlich,2,,Wohnung (Miete),,,Weiss nicht,"Ja, Effizienz, Menge und Preise",Steigende Strompreise für Verbraucher,1 = sehr unwichtig,3,5 = sehr wichtig,3,5 = sehr wichtig,3,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",,Nein,,Nein,,Nein,,"Ja, +",25%,Ja,Ja,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118720872081,458224841,10/20/2024 05:51:16 PM,10/20/2024 05:58:44 PM,194.230.145.148,,,,,unter 18,Weiblich,3,Wohnung (Eigentum),,,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Herausforderungen für die Stabilität der Netze,4,4,3,4,5 = sehr wichtig,4,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Sekundarschule/Realschule,Ich habe keine feste Parteipräferenz
118720872071,458224841,10/20/2024 05:51:08 PM,10/20/2024 05:58:42 PM,178.197.219.28,,,,,57,Männlich,3,Wohnung (Eigentum),,,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Herausforderungen für die Stabilität der Netze,4,4,2,5 = sehr wichtig,5 = sehr wichtig,4,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Universität/Master,Ich habe keine feste Parteipräferenz
118720869708,458224841,10/20/2024 05:44:25 PM,10/20/2024 05:50:55 PM,178.197.219.181,,,,,30,Weiblich,2,,Wohnung (Miete),,,Weiss nicht,"Erzeugung ist evtl weniger gut planbar, da abhängig vom Wetter",Steigende Strompreise für Verbraucher,3,3,4,5 = sehr wichtig,5 = sehr wichtig,2,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, f",,"Ja, f",,Nein,,"Ja, f",,"Ja, f",,Ja,Ja,7.001 - 10.000 CHF,Universität/Master,Sozialdemokratische Partei der Schweiz (SP)
118720869178,458224841,10/20/2024 05:42:06 PM,10/20/2024 05:49:12 PM,213.55.237.48,,,,,39,Weiblich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Ja,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,2,4,3,5 = sehr wichtig,4,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Keine Angabe
118720868828,458224841,10/20/2024 05:42:17 PM,10/20/2024 05:48:04 PM,178.197.211.150,,,,,40,Männlich,5,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Nein,Keine der genannten Konsequenzen ist problematisch,5 = sehr wichtig,5 = sehr wichtig,2,4,3,2,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Nein,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Ich habe keine feste Parteipräferenz
118720617197,458224841,10/19/2024 11:54:00 PM,10/20/2024 12:00:12 AM,178.197.211.11,,,,,44,Männlich,3,Wohnung (Eigentum),,,,Eine Mischung aus konventionellem Strom und Ökostrom,nein,Steigende Strompreise für Verbraucher,3,4,3,5 = sehr wichtig,4,5 = sehr wichtig,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden",Nein,,Nein,,"Ja, +",10%,Nein,,Nein,,Nein,,Ja,Ja,5.001 - 7.000 CHF,Fachhochschule/Bachelor,Sozialdemokratische Partei der Schweiz (SP)
118720359488,458224841,10/19/2024 12:28:37 PM,10/19/2024 12:34:15 PM,84.241.83.127,,,,,61,Männlich,4,,,,Haus (Eigentum),"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Weiss nicht ,Herausforderungen für die Stabilität der Netze,3,3,3,2,4,2,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",10%,"Ja, +",20%,"Ja, +",,Nein,,"Ja, +",10%,Nein,,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP)
118720304414,458224841,10/19/2024 08:33:52 AM,10/19/2024 08:39:45 AM,158.181.117.213,,,,,42,Männlich,5,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,"Denke, dass du wenig geliefert werden kann, da der Stromverbrauch momentan zunimmt.",Steigende Strompreise für Verbraucher,3,4,2,5 = sehr wichtig,3,3,"Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",10%,"Ja, +",5%,"Ja, f",0%,Nein,,"Ja, +",,"Ja, +",,Ja,Ja,Über 10.000 CHF,Fachhochschule/Bachelor,Schweizerische Volkspartei (SVP)
118720210295,458224841,10/19/2024 02:49:18 AM,10/19/2024 02:53:20 AM,158.181.125.121,,,,,43,Weiblich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Steigende Strompreise für Verbraucher,2,3,3,4,4,4,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",10%,"Ja, +",10%,"Ja, +",10%,Nein,,Nein,,Nein,,Nein,Ja,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Die Mitte
